Single Family Residential,200 Star Hill Rd,Woodside,CA,94062,825000,3,2.0,WOODSIDE,2040,23760,1948
Condo/Co-op,308 Torrey Pine Ter #201,Sunnyvale,CA,94086,1765188,2,2.5,Sunnyvale,2322,,2024
Condo/Co-op,1930 Mission St #17,San Francisco,CA,94103,429000,0,1.0,MISSION DISTRICT,343,,1993
Mobile/Manufactured Home,80 Quail Hollow Dr #80,San Jose,CA,95128,300000,2,2.0,SAN JOSE,1457,,1974
Condo/Co-op,1 Daniel Burnham Ct #816,San Francisco,CA,94109,699000,1,1.5,SF District 8,716,46157,1988
Single Family Residential,673 Andover St,San Francisco,CA,94110,1395000,3,2.0,SF District 9,1340,1851,1906
Single Family Residential,710 Douglass St,San Francisco,CA,94114,2600000,4,2.5,SF District 5,2062,2495,1900
PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT
Single Family Residential,1518 Stafford St,Redwood City,CA,94063,1350000,2,1.0,REDWOOD CITY,1005,5000,1944
Single Family Residential,871 Corbett Ave,San Francisco,CA,94131,1398000,3,2.0,SF District 5,1356,2374,1953
Condo/Co-op,1458 Hudson St #318,Redwood City,CA,94061,428000,0,1.0,REDWOOD CITY,470,,1970
Single Family Residential,1934 Trenton Dr,San Jose,CA,95124,2299000,4,2.5,SAN JOSE,1849,8769,1955
Multi-Family (2-4 Unit),207 Wayland St,San Francisco,CA,94134,1299000,6,4.0,San Francisco,2000,4000,1900
Townhouse,222 Carroll St #1,Sunnyvale,CA,94086,888520,3,2.5,SUNNYVALE,1497,467,2024
Condo/Co-op,3344 21st St,San Francisco,CA,94110,1399000,3,1.5,SAN FRANCISCO,1543,,1904
Townhouse,Plan 4BX Plan,Mountain View,CA,94040,2039990,4,3.5,Mountain View,1697,,
Condo/Co-op,1740 Franklin St #10,San Francisco,CA,94109,1550000,3,1.5,SF District 7,1688,4514,1913
Multi-Family (2-4 Unit),60-64 W 39th Ave,San Mateo,CA,94403,1725000,4,2.0,Westwood Knolls Etc,2350,5301,1952
Multi-Family (2-4 Unit),320 Raymond Ave,San Jose,CA,95128,1195000,5,2.0,San Jose,1132,4000,1925
Mobile/Manufactured Home,422 Chateau La Salle Rd #422,San Jose,CA,95111,459900,3,2.0,SAN JOSE,1674,,2001
Condo/Co-op,761 Tehama St #13,San Francisco,CA,94103,699000,1,1.5,SF District 9,890,6534,2001
Single Family Residential,2525 Mardell Way,Mountain View,CA,94043,2380000,3,2.0,MOUNTAIN VIEW,1589,5376,1958
Other,3669 Lisbon Ct,San Jose,CA,95132,650000,,,SAN JOSE,,12746,
Condo/Co-op,3768 Capitol Ave Unit 417B,Fremont,CA,94538,798900,2,2.0,Fremont,1109,,2019
Condo/Co-op,200 Brannan St #407,San Francisco,CA,94107,1349000,2,2.0,SF District 9,1525,72899,2004
Single Family Residential,5851 Musick Ave,Newark,CA,94560,828000,3,1.5,NEWARK,1051,5000,1955
Condo/Co-op,5424 Cribari Ct,San Jose,CA,95135,418600,2,2.0,San Jose,1223,1664,1969
Condo/Co-op,1850 El Camino Real #211,Santa Clara,CA,95050,945000,1,1.0,SANTA CLARA,752,,2023
Vacant Land,3761 Laurel Way,Redwood City,CA,94062,375000,,,REDWOOD CITY,,15500,
Condo/Co-op,400 Mariners Island Blvd #322,San Mateo,CA,94404,1378000,3,2.0,SAN MATEO,1439,,2016
Condo/Co-op,1601 Pacific Ave #201,San Francisco,CA,94109,1299000,2,2.0,SF District 8,1319,7361,2000
Single Family Residential,222 Jersey St,San Francisco,CA,94114,2795000,5,7.0,SF District 5,5200,2953,1900
Single Family Residential,35 Tamalpais Ter,San Francisco,CA,94118,1600000,2,2.0,SF District 1,1575,2495,1937
Single Family Residential,3001 San Jose Vineyard Ct,San Jose,CA,95136,1499000,4,3.5,SAN JOSE,2153,2741,2017
Single Family Residential,12725 Old La Honda Rd,Woodside,CA,94062,1650000,0,,WOODSIDE,3000,110904,2019
Single Family Residential,214 S 19th St,San Jose,CA,95116,1375000,4,4.0,SAN JOSE,1584,7800,1900
Condo/Co-op,37474 Parish Cir Unit 19G,Fremont,CA,94536,639900,2,2.0,FREMONT,942,,1989
Condo/Co-op,280 Spear St Unit 37B,San Francisco,CA,94105,3495000,3,3.0,SF District 9,2196,47916,2022
Condo/Co-op,1850 El Camino Real #421,Santa Clara,CA,95050,1410000,3,2.0,SANTA CLARA,1330,,2023
Condo/Co-op,1853 Almaden Rd #508,San Jose,CA,95125,848800,2,2.0,SAN JOSE,1119,,2024
